UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.040_N.30_040/30/01_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/01,PADANG KUBU,SEKOLAH KEBANGSAAN PADANG KUBU,2,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.30_040/30/01_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/01,PADANG KUBU,SEKOLAH KEBANGSAAN PADANG KUBU,3,429,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,161,PAS,DR. SAM,MALE,53,262,423,6,0
P.040_N.30_040/30/02_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,1,304,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,191,PAS,DR. SAM,MALE,53,113,304,0,0
P.040_N.30_040/30/02_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,2,361,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,180,PAS,DR. SAM,MALE,53,177,357,4,0
P.040_N.30_040/30/02_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,3,490,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,255,PAS,DR. SAM,MALE,53,233,488,2,0
P.040_N.30_040/30/02_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,4,384,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,178,PAS,DR. SAM,MALE,53,204,382,2,0
P.040_N.30_040/30/02_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,5,415,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,168,PAS,DR. SAM,MALE,53,246,414,1,0
P.040_N.30_040/30/02_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,6,416,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,173,PAS,DR. SAM,MALE,53,241,414,2,0
P.040_N.30_040/30/02_7,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,7,447,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,174,PAS,DR. SAM,MALE,53,269,443,4,0
P.040_N.30_040/30/02_8,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/02,SERI BANDI,SEKOLAH KEBANGSAAN SERI BANDI,8,430,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,182,PAS,DR. SAM,MALE,53,248,430,0,0
